FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,CPV,Cabo Verde,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
A,Annual,CRI,Costa Rica,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.46,0.45,0.44,0.43,0.43,0.43,0.76,1.11,2.09,2.87,3.63,2.67,2.71,2.75,2.79,2.83,2.87,2.91,3.0,2.73,3.13,2.78,2.7,2.62,2.54,2.46,2.39,2.32,2.07,2.37,2.35,1.81,1.8,1.85
A,Annual,CUB,Cuba,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.35,0.33,0.31,0.28,0.27,0.28,0.31,0.33,0.32,0.32,0.32,0.33,0.33,0.34,0.34,0.35,0.35,0.32,0.28,0.21,0.18,0.12,0.09,0.07,0.07
A,Annual,CYP,Cyprus,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,2.77,2.47,2.09,2.47,2.98,2.35,2.75,2.48,1.89,1.33,0.79,0.9,1.08,0.8,0.7,0.65,0.82,0.5,0.44,0.66,0.56,1.08,1.0,0.95,0.91,0.87,0.92,0.93,0.93,0.96,0.91,0.84,0.76,0.61
A,Annual,CZE,Czechia,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,,,,0.34,0.35,0.36,0.35,0.4,0.42,0.41,0.44,0.45,0.49,0.45,0.52,0.52,0.55,0.6,0.52,0.46,0.47,0.67,0.62,0.59,0.54,0.6,0.56,0.5,0.49,0.48,0.41,0.43,0.52,0.42
A,Annual,DEU,Germany,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.39,0.4,0.37,0.31,0.32,0.37,0.39,0.37,0.41,0.37,0.43,0.41,0.42,0.43,0.43,0.44,0.47,0.5,0.54,0.49,0.51,0.54,0.56,0.54,0.57,0.58,0.57,0.58,0.54,0.54,0.57,0.58,0.57,0.48
A,Annual,DJI,Djibouti,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.09,0.12
A,Annual,DNK,Denmark,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,1.1,0.9,0.88,0.79,0.75,0.96,0.7,0.7,0.68,0.54,0.59,0.62,0.53,0.55,0.54,0.6,0.59,0.61,0.75,0.51,0.7,0.82,1.07,0.75,0.32,0.45,0.45,0.47,0.46,0.46,0.54,0.51,0.55,0.56
A,Annual,DOM,Dominican Republic,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.7,0.68,0.67,0.65,0.64,0.44,0.43,0.47,0.53,0.56,0.59,0.82,0.45,0.1,0.41,0.38,0.44,0.6,0.57,0.62,0.64,0.64,0.64,0.64,0.64,0.48,0.56,0.64,0.66,0.51,0.37,0.23,0.18,0.18
A,Annual,DZA,Algeria,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.23,0.27,0.15,0.14,0.15,0.22,0.08,0.06,0.05,0.07,0.08,0.09,0.1,0.11,0.12,0.08,0.07,0.1,0.16,0.09,0.05,0.21,0.24,0.22,0.18,0.11,0.1,0.15,0.14,0.14,0.14,0.14,0.13,0.13
A,Annual,ECU,Ecuador,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.24,0.22,0.18,0.17,0.23,0.23,0.2,0.63,1.75,1.14,1.41,0.57,0.1,2.29,2.19,1.33,0.56,0.99,1.06,0.65,2.1,1.14,0.74,0.41,2.09,2.74,2.38,2.26,2.19,1.97,1.6,1.89,1.77,1.96
A,Annual,EGY,"Egypt, Arab Rep.",FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.23,0.14,0.1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.12,0.11,0.11,0.1,0.13,0.14,0.15,0.14,0.12,0.08,0.11,0.08,0.11,0.12,0.11,0.1,0.08,0.1
A,Annual,ERI,Eritrea,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,,,,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
A,Annual,ESP,Spain,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,1.01,1.0,0.81,0.74,0.78,0.7,0.83,0.84,0.86,0.82,0.84,0.87,0.98,0.98,1.1,0.93,0.89,0.86,0.88,0.75,0.83,1.56,1.35,1.52,1.69,1.65,1.65,1.54,1.55,1.59,1.59,1.6,1.18,1.1
A,Annual,EST,Estonia,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,,,0.3,0.11,0.12,0.11,0.09,0.14,0.14,0.13,0.23,0.24,0.24,0.24,0.26,0.28,0.34,0.34,0.41,0.3,0.39,0.35,0.42,0.43,0.45,0.45,0.54,0.53,0.48,0.56,0.58,0.67,0.58,0.52
A,Annual,ETH,Ethiopia,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,,,,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03
A,Annual,FIN,Finland,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.85,0.75,0.8,0.81,0.78,0.46,0.48,0.61,0.79,0.81,0.7,0.79,0.91,0.91,0.91,0.94,1.0,0.77,0.72,0.9,0.71,0.56,0.58,0.6,0.64,0.73,0.84,0.79,0.89,0.73,0.89,0.74,0.6,0.58
A,Annual,FJI,Fiji,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.16,0.87,0.15,0.17,0.2,0.23,0.25,0.28,0.3,0.32,0.34,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.51,0.61,0.66,0.64,0.71,0.63,0.83,0.75,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.66
